,Unnamed: 0,Epochs,Validation Accuracy,Setting
0,0.0,1,0.1666666716337204,Initial Dataset
1,1.0,2,0.1666666716337204,Initial Dataset
2,2.0,3,0.1666666716337204,Initial Dataset
3,3.0,4,0.1666666716337204,Initial Dataset
4,4.0,5,0.1666666716337204,Initial Dataset
5,5.0,6,0.1666666716337204,Initial Dataset
6,6.0,7,0.1333333402872085,Initial Dataset
7,7.0,8,0.233333334326744,Initial Dataset
8,8.0,9,0.1666666716337204,Initial Dataset
9,9.0,10,0.1000000014901161,Initial Dataset
10,10.0,11,0.1000000014901161,Initial Dataset
11,11.0,12,0.1333333402872085,Initial Dataset
12,12.0,13,0.1333333402872085,Initial Dataset
13,13.0,14,0.1333333402872085,Initial Dataset
14,14.0,15,0.2000000029802322,Initial Dataset
15,15.0,16,0.2000000029802322,Initial Dataset
16,16.0,17,0.0666666701436042,Initial Dataset
17,17.0,18,0.1666666716337204,Initial Dataset
18,18.0,19,0.1666666716337204,Initial Dataset
19,19.0,20,0.1333333402872085,Initial Dataset
20,20.0,21,0.1666666716337204,Initial Dataset
21,21.0,22,0.1000000014901161,Initial Dataset
22,22.0,23,0.1666666716337204,Initial Dataset
23,23.0,24,0.0333333350718021,Initial Dataset
24,24.0,25,0.1666666716337204,Initial Dataset
25,25.0,26,0.0666666701436042,Initial Dataset
26,26.0,27,0.1666666716337204,Initial Dataset
27,27.0,28,0.1666666716337204,Initial Dataset
28,28.0,29,0.1666666716337204,Initial Dataset
29,29.0,30,0.1666666716337204,Initial Dataset
30,30.0,1,0.1666666716337204,Initial Dataset
31,31.0,2,0.1666666716337204,Initial Dataset
32,32.0,3,0.1666666716337204,Initial Dataset
33,33.0,4,0.233333334326744,Initial Dataset
34,34.0,5,0.1666666716337204,Initial Dataset
35,35.0,6,0.1000000014901161,Initial Dataset
36,36.0,7,0.1666666716337204,Initial Dataset
37,37.0,8,0.2666666805744171,Initial Dataset
38,38.0,9,0.1666666716337204,Initial Dataset
39,39.0,10,0.1666666716337204,Initial Dataset
40,40.0,11,0.1666666716337204,Initial Dataset
41,41.0,12,0.2000000029802322,Initial Dataset
42,42.0,13,0.1666666716337204,Initial Dataset
43,43.0,14,0.1666666716337204,Initial Dataset
44,44.0,15,0.1666666716337204,Initial Dataset
45,45.0,16,0.1666666716337204,Initial Dataset
46,46.0,17,0.1333333402872085,Initial Dataset
47,47.0,18,0.1666666716337204,Initial Dataset
48,48.0,19,0.2000000029802322,Initial Dataset
49,49.0,20,0.1666666716337204,Initial Dataset
50,50.0,21,0.1333333402872085,Initial Dataset
51,51.0,22,0.233333334326744,Initial Dataset
52,52.0,23,0.1666666716337204,Initial Dataset
