,Epochs,Validation Accuracy,Setting
0,1,0.1054999977350235,cifar_50
1,2,0.1459999978542328,cifar_50
2,3,0.18619999289512634,cifar_50
3,4,0.22869999706745148,cifar_50
4,5,0.22789999842643738,cifar_50
5,6,0.2012999951839447,cifar_50
6,7,0.2013999968767166,cifar_50
7,8,0.25699999928474426,cifar_50
8,9,0.2669999897480011,cifar_50
9,10,0.2467000037431717,cifar_50
10,11,0.250900000333786,cifar_50
11,12,0.2639999985694885,cifar_50
12,13,0.2759999930858612,cifar_50
13,14,0.25929999351501465,cifar_50
14,15,0.2824999988079071,cifar_50
15,16,0.27390000224113464,cifar_50
16,17,0.27379998564720154,cifar_50
17,18,0.27570000290870667,cifar_50
18,19,0.2718999981880188,cifar_50
19,20,0.2660999894142151,cifar_50
20,21,0.274399995803833,cifar_50
21,22,0.2660999894142151,cifar_50
22,23,0.25529998540878296,cifar_50
23,24,0.2696000039577484,cifar_50
24,25,0.2736000120639801,cifar_50
25,26,0.26179999113082886,cifar_50
26,27,0.26350000500679016,cifar_50
27,28,0.2766000032424927,cifar_50
28,29,0.2696000039577484,cifar_50
29,30,0.2667999863624573,cifar_50
30,1,0.10189999639987946,cifar_50
31,2,0.17880000174045563,cifar_50
32,3,0.15410000085830688,cifar_50
33,4,0.15860000252723694,cifar_50
34,5,0.1800999939441681,cifar_50
35,6,0.2134999930858612,cifar_50
36,7,0.21330000460147858,cifar_50
37,8,0.22169999778270721,cifar_50
38,9,0.26409998536109924,cifar_50
39,10,0.27390000224113464,cifar_50
40,11,0.24789999425411224,cifar_50
41,12,0.25440001487731934,cifar_50
42,13,0.28049999475479126,cifar_50
43,14,0.2745000123977661,cifar_50
44,15,0.27250000834465027,cifar_50
45,16,0.2793000042438507,cifar_50
46,17,0.27300000190734863,cifar_50
47,18,0.25699999928474426,cifar_50
48,19,0.2847000062465668,cifar_50
49,20,0.2928999960422516,cifar_50
50,21,0.2667999863624573,cifar_50
51,22,0.2578999996185303,cifar_50
52,23,0.26420000195503235,cifar_50
53,24,0.2840999960899353,cifar_50
54,25,0.27459999918937683,cifar_50
55,26,0.2637999951839447,cifar_50
56,27,0.2694000005722046,cifar_50
57,28,0.2637999951839447,cifar_50
58,29,0.2522999942302704,cifar_50
59,30,0.2784999907016754,cifar_50
60,1,0.14300000667572021,cifar_50
61,2,0.12870000302791595,cifar_50
62,3,0.21660000085830688,cifar_50
63,4,0.11699999868869781,cifar_50
64,5,0.19009999930858612,cifar_50
65,6,0.23309999704360962,cifar_50
66,7,0.2443999946117401,cifar_50
67,8,0.2272000014781952,cifar_50
68,9,0.2529999911785126,cifar_50
69,10,0.25049999356269836,cifar_50
70,11,0.27559998631477356,cifar_50
71,12,0.23690000176429749,cifar_50
72,13,0.23399999737739563,cifar_50
73,14,0.2660999894142151,cifar_50
74,15,0.2703999876976013,cifar_50
75,16,0.27140000462532043,cifar_50
76,17,0.249099999666214,cifar_50
77,18,0.25870001316070557,cifar_50
78,19,0.287200003862381,cifar_50
79,20,0.2865000069141388,cifar_50
80,21,0.2694999873638153,cifar_50
81,22,0.2433999925851822,cifar_50
82,23,0.26339998841285706,cifar_50
83,24,0.2759000062942505,cifar_50
84,25,0.28380000591278076,cifar_50
85,26,0.26010000705718994,cifar_50
86,27,0.2533999979496002,cifar_50
87,28,0.26589998602867126,cifar_50
88,29,0.26249998807907104,cifar_50
89,30,0.2702000141143799,cifar_50
90,1,0.10080000013113022,cifar_50
91,2,0.14219999313354492,cifar_50
92,3,0.13230000436306,cifar_50
93,4,0.16840000450611115,cifar_50
94,5,0.21709999442100525,cifar_50
95,6,0.2231999933719635,cifar_50
96,7,0.2222999930381775,cifar_50
97,8,0.2540000081062317,cifar_50
98,9,0.2467000037431717,cifar_50
99,10,0.22040000557899475,cifar_50
100,11,0.263700008392334,cifar_50
101,12,0.26649999618530273,cifar_50
102,13,0.26919999718666077,cifar_50
103,14,0.2442999929189682,cifar_50
104,15,0.25940001010894775,cifar_50
105,16,0.2603999972343445,cifar_50
106,17,0.2777000069618225,cifar_50
107,18,0.26350000500679016,cifar_50
108,19,0.2766999900341034,cifar_50
109,20,0.2842000126838684,cifar_50
110,21,0.2660999894142151,cifar_50
111,22,0.26759999990463257,cifar_50
112,23,0.2720000147819519,cifar_50
113,24,0.2574999928474426,cifar_50
114,25,0.2565999925136566,cifar_50
115,26,0.25450000166893005,cifar_50
116,27,0.28290000557899475,cifar_50
