,Epochs,Validation Accuracy,Setting
0,1,0.0989999994635582,cifar_50
1,2,0.10000000149011612,cifar_50
2,3,0.10000000149011612,cifar_50
3,4,0.10000000149011612,cifar_50
4,5,0.10000000149011612,cifar_50
5,6,0.10000000149011612,cifar_50
6,7,0.10000000149011612,cifar_50
7,8,0.10000000149011612,cifar_50
8,9,0.10000000149011612,cifar_50
9,10,0.10000000149011612,cifar_50
10,11,0.10010000318288803,cifar_50
11,12,0.10010000318288803,cifar_50
12,13,0.10019999742507935,cifar_50
13,14,0.10029999911785126,cifar_50
14,15,0.10040000081062317,cifar_50
15,16,0.10050000250339508,cifar_50
16,17,0.1005999967455864,cifar_50
17,18,0.1005999967455864,cifar_50
18,19,0.10080000013113022,cifar_50
19,20,0.10109999775886536,cifar_50
20,21,0.10170000046491623,cifar_50
21,22,0.10220000147819519,cifar_50
22,23,0.10289999842643738,cifar_50
23,24,0.10350000113248825,cifar_50
24,25,0.10459999740123749,cifar_50
25,26,0.10530000180006027,cifar_50
26,27,0.10760000348091125,cifar_50
27,28,0.10840000212192535,cifar_50
28,29,0.11020000278949738,cifar_50
29,30,0.11259999871253967,cifar_50
30,1,0.10000000149011612,cifar_50
31,2,0.10000000149011612,cifar_50
32,3,0.10000000149011612,cifar_50
33,4,0.10000000149011612,cifar_50
34,5,0.10000000149011612,cifar_50
35,6,0.10000000149011612,cifar_50
36,7,0.10000000149011612,cifar_50
37,8,0.10000000149011612,cifar_50
38,9,0.10000000149011612,cifar_50
39,10,0.09989999979734421,cifar_50
40,11,0.09989999979734421,cifar_50
41,12,0.10000000149011612,cifar_50
42,13,0.09989999979734421,cifar_50
43,14,0.10010000318288803,cifar_50
44,15,0.10300000011920929,cifar_50
45,16,0.10819999873638153,cifar_50
46,17,0.11339999735355377,cifar_50
47,18,0.11509999632835388,cifar_50
48,19,0.11289999634027481,cifar_50
49,20,0.10700000077486038,cifar_50
50,21,0.10409999638795853,cifar_50
51,22,0.10700000077486038,cifar_50
52,23,0.10899999737739563,cifar_50
53,24,0.10239999741315842,cifar_50
54,25,0.09759999811649323,cifar_50
55,26,0.09539999812841415,cifar_50
56,27,0.10019999742507935,cifar_50
57,28,0.10980000346899033,cifar_50
58,29,0.13529999554157257,cifar_50
59,30,0.10050000250339508,cifar_50
60,1,0.10000000149011612,cifar_50
61,2,0.10000000149011612,cifar_50
62,3,0.10000000149011612,cifar_50
63,4,0.10000000149011612,cifar_50
64,5,0.10000000149011612,cifar_50
65,6,0.10000000149011612,cifar_50
66,7,0.10000000149011612,cifar_50
67,8,0.10000000149011612,cifar_50
68,9,0.10010000318288803,cifar_50
69,10,0.10010000318288803,cifar_50
70,11,0.10010000318288803,cifar_50
71,12,0.10010000318288803,cifar_50
72,13,0.10029999911785126,cifar_50
73,14,0.10029999911785126,cifar_50
74,15,0.10029999911785126,cifar_50
75,16,0.10019999742507935,cifar_50
76,17,0.10040000081062317,cifar_50
77,18,0.10029999911785126,cifar_50
78,19,0.10170000046491623,cifar_50
79,20,0.10249999910593033,cifar_50
80,21,0.10419999808073044,cifar_50
81,22,0.10580000281333923,cifar_50
82,23,0.10679999738931656,cifar_50
83,24,0.10840000212192535,cifar_50
84,25,0.1088000014424324,cifar_50
85,26,0.10980000346899033,cifar_50
86,27,0.11140000075101852,cifar_50
87,28,0.1136000007390976,cifar_50
88,29,0.11550000309944153,cifar_50
89,30,0.11840000003576279,cifar_50
90,1,0.1006999984383583,cifar_50
91,2,0.0966000035405159,cifar_50
92,3,0.09950000047683716,cifar_50
93,4,0.10000000149011612,cifar_50
94,5,0.10000000149011612,cifar_50
95,6,0.10000000149011612,cifar_50
96,7,0.10000000149011612,cifar_50
97,8,0.10000000149011612,cifar_50
98,9,0.10000000149011612,cifar_50
99,10,0.10000000149011612,cifar_50
100,11,0.10010000318288803,cifar_50
101,12,0.10010000318288803,cifar_50
102,13,0.09920000284910202,cifar_50
103,14,0.09759999811649323,cifar_50
104,15,0.09989999979734421,cifar_50
105,16,0.10130000114440918,cifar_50
106,17,0.10620000213384628,cifar_50
107,18,0.11240000277757645,cifar_50
108,19,0.11490000039339066,cifar_50
109,20,0.11819999665021896,cifar_50
110,21,0.12049999833106995,cifar_50
111,22,0.12240000069141388,cifar_50
112,23,0.12549999356269836,cifar_50
113,24,0.12849999964237213,cifar_50
114,25,0.1340000033378601,cifar_50
115,26,0.13650000095367432,cifar_50
116,27,0.14100000262260437,cifar_50
117,28,0.14229999482631683,cifar_50
118,29,0.14489999413490295,cifar_50
119,30,0.14710000157356262,cifar_50
120,1,0.10170000046491623,cifar_50
121,2,0.11330000311136246,cifar_50
122,3,0.10530000180006027,cifar_50
123,4,0.09969999641180038,cifar_50
124,5,0.09989999979734421,cifar_50
125,6,0.10040000081062317,cifar_50
126,7,0.10719999670982361,cifar_50
127,8,0.1088000014424324,cifar_50
128,9,0.11129999905824661,cifar_50
129,10,0.10790000110864639,cifar_50
130,11,0.10339999943971634,cifar_50
131,12,0.10170000046491623,cifar_50
132,13,0.10130000114440918,cifar_50
133,14,0.10140000283718109,cifar_50
134,15,0.10270000249147415,cifar_50
135,16,0.10540000349283218,cifar_50
136,17,0.11209999769926071,cifar_50
137,18,0.11800000071525574,cifar_50
138,19,0.1251000016927719,cifar_50
139,20,0.1298000067472458,cifar_50
140,21,0.13359999656677246,cifar_50
141,22,0.13770000636577606,cifar_50
142,23,0.14030000567436218,cifar_50
143,24,0.14190000295639038,cifar_50
144,25,0.14159999787807465,cifar_50
145,26,0.14350000023841858,cifar_50
146,27,0.14560000598430634,cifar_50
147,28,0.14869999885559082,cifar_50
148,29,0.1485999971628189,cifar_50
149,30,0.14970000088214874,cifar_50
150,1,0.10010000318288803,cifar_500
151,2,0.13169999420642853,cifar_500
152,3,0.17030000686645508,cifar_500
153,4,0.2329999953508377,cifar_500
154,5,0.24619999527931213,cifar_500
155,6,0.25130000710487366,cifar_500
156,7,0.2624000012874603,cifar_500
157,8,0.26109999418258667,cifar_500
158,9,0.29429998993873596,cifar_500
159,10,0.2540000081062317,cifar_500
160,11,0.15780000388622284,cifar_500
161,12,0.26910001039505005,cifar_500
162,13,0.304500013589859,cifar_500
163,14,0.2786000072956085,cifar_500
164,15,0.2606000006198883,cifar_500
165,16,0.296099990606308,cifar_500
166,17,0.2799000144004822,cifar_500
167,18,0.32190001010894775,cifar_500
168,19,0.3370000123977661,cifar_500
169,20,0.2721000015735626,cifar_500
170,21,0.24879999458789825,cifar_500
171,22,0.3183000087738037,cifar_500
172,23,0.26840001344680786,cifar_500
173,24,0.2280000001192093,cifar_500
174,25,0.2540000081062317,cifar_500
175,26,0.24459999799728394,cifar_500
176,27,0.29409998655319214,cifar_500
177,28,0.241799995303154,cifar_500
178,29,0.25850000977516174,cifar_500
179,30,0.2703999876976013,cifar_500
180,1,0.10000000149011612,cifar_500
181,2,0.10040000081062317,cifar_500
182,3,0.11339999735355377,cifar_500
183,4,0.18549999594688416,cifar_500
184,5,0.20829999446868896,cifar_500
185,6,0.14839999377727509,cifar_500
186,7,0.22220000624656677,cifar_500
187,8,0.24809999763965607,cifar_500
188,9,0.25609999895095825,cifar_500
189,10,0.2328999936580658,cifar_500
190,11,0.19050000607967377,cifar_500
191,12,0.2500999867916107,cifar_500
192,13,0.25369998812675476,cifar_500
193,14,0.2362000048160553,cifar_500
194,15,0.30329999327659607,cifar_500
195,16,0.21209999918937683,cifar_500
196,17,0.26249998807907104,cifar_500
197,18,0.2517000138759613,cifar_500
198,19,0.26179999113082886,cifar_500
199,20,0.3066999912261963,cifar_500
200,21,0.28189998865127563,cifar_500
201,22,0.296999990940094,cifar_500
202,23,0.3262999951839447,cifar_500
203,24,0.30160000920295715,cifar_500
204,25,0.3050000071525574,cifar_500
205,26,0.3138999938964844,cifar_500
206,27,0.2768000066280365,cifar_500
207,28,0.32420000433921814,cifar_500
208,29,0.2793000042438507,cifar_500
209,30,0.2660999894142151,cifar_500
210,1,0.10000000149011612,cifar_500
211,2,0.10499999672174454,cifar_500
212,3,0.12630000710487366,cifar_500
213,4,0.12080000340938568,cifar_500
214,5,0.21629999577999115,cifar_500
215,6,0.2345000058412552,cifar_500
216,7,0.1476999968290329,cifar_500
217,8,0.2117999941110611,cifar_500
218,9,0.21870000660419464,cifar_500
219,10,0.2556000053882599,cifar_500
220,11,0.23360000550746918,cifar_500
221,12,0.31290000677108765,cifar_500
222,13,0.30820000171661377,cifar_500
223,14,0.2556999921798706,cifar_500
224,15,0.2856999933719635,cifar_500
225,16,0.15719999372959137,cifar_500
226,17,0.22179999947547913,cifar_500
227,18,0.2198999971151352,cifar_500
228,19,0.15809999406337738,cifar_500
229,20,0.27709999680519104,cifar_500
230,21,0.29499998688697815,cifar_500
231,22,0.31130000948905945,cifar_500
232,23,0.3109999895095825,cifar_500
233,24,0.31220000982284546,cifar_500
234,25,0.33399999141693115,cifar_500
235,26,0.3368000090122223,cifar_500
236,27,0.3450999855995178,cifar_500
237,28,0.3596999943256378,cifar_500
238,29,0.3684999942779541,cifar_500
239,30,0.3610999882221222,cifar_500
240,1,0.12800000607967377,cifar_500
241,2,0.1485999971628189,cifar_500
242,3,0.1467999964952469,cifar_500
243,4,0.11270000040531158,cifar_500
244,5,0.19300000369548798,cifar_500
245,6,0.2833000123500824,cifar_500
246,7,0.21119999885559082,cifar_500
247,8,0.16130000352859497,cifar_500
248,9,0.22190000116825104,cifar_500
249,10,0.21289999783039093,cifar_500
250,11,0.2921999990940094,cifar_500
251,12,0.26750001311302185,cifar_500
252,13,0.2856000065803528,cifar_500
253,14,0.2976999878883362,cifar_500
254,15,0.25380000472068787,cifar_500
255,16,0.2676999866962433,cifar_500
256,17,0.28049999475479126,cifar_500
257,18,0.2775000035762787,cifar_500
258,19,0.266400009393692,cifar_500
