Unnamed: 0,Epochs,Validation Accuracy,Setting,Value,Metric
,1,,Compressed Outer Classes,0.3333333432674408,Validation Accuracy
,2,,Compressed Outer Classes,0.4666666686534881,Validation Accuracy
,3,,Compressed Outer Classes,0.6000000238418579,Validation Accuracy
,4,,Compressed Outer Classes,0.4666666686534881,Validation Accuracy
,5,,Compressed Outer Classes,0.5666666626930237,Validation Accuracy
,6,,Compressed Outer Classes,0.5333333611488342,Validation Accuracy
,7,,Compressed Outer Classes,0.5666666626930237,Validation Accuracy
,8,,Compressed Outer Classes,0.5666666626930237,Validation Accuracy
,9,,Compressed Outer Classes,0.5666666626930237,Validation Accuracy
,10,,Compressed Outer Classes,0.5666666626930237,Validation Accuracy
,11,,Compressed Outer Classes,0.5333333611488342,Validation Accuracy
,12,,Compressed Outer Classes,0.5333333611488342,Validation Accuracy
,13,,Compressed Outer Classes,0.5333333611488342,Validation Accuracy
,14,,Compressed Outer Classes,0.5333333611488342,Validation Accuracy
,15,,Compressed Outer Classes,0.5666666626930237,Validation Accuracy
,1,,Compressed Outer Classes,0.5,Validation Off-By-One Accuracy
,2,,Compressed Outer Classes,0.6333333253860474,Validation Off-By-One Accuracy
,3,,Compressed Outer Classes,0.800000011920929,Validation Off-By-One Accuracy
,4,,Compressed Outer Classes,0.7666666507720947,Validation Off-By-One Accuracy
,5,,Compressed Outer Classes,0.7333333492279053,Validation Off-By-One Accuracy
,6,,Compressed Outer Classes,0.699999988079071,Validation Off-By-One Accuracy
,7,,Compressed Outer Classes,0.7333333492279053,Validation Off-By-One Accuracy
,8,,Compressed Outer Classes,0.7333333492279053,Validation Off-By-One Accuracy
,9,,Compressed Outer Classes,0.7333333492279053,Validation Off-By-One Accuracy
,10,,Compressed Outer Classes,0.7333333492279053,Validation Off-By-One Accuracy
,11,,Compressed Outer Classes,0.699999988079071,Validation Off-By-One Accuracy
,12,,Compressed Outer Classes,0.699999988079071,Validation Off-By-One Accuracy
,13,,Compressed Outer Classes,0.699999988079071,Validation Off-By-One Accuracy
,14,,Compressed Outer Classes,0.699999988079071,Validation Off-By-One Accuracy
,15,,Compressed Outer Classes,0.7333333492279053,Validation Off-By-One Accuracy
,1,,Compressed Outer Classes,0.6666666865348816,Validation Accuracy
,2,,Compressed Outer Classes,0.4666666686534881,Validation Accuracy
,3,,Compressed Outer Classes,0.6666666865348816,Validation Accuracy
,4,,Compressed Outer Classes,0.6666666865348816,Validation Accuracy
,5,,Compressed Outer Classes,0.5333333611488342,Validation Accuracy
,6,,Compressed Outer Classes,0.5333333611488342,Validation Accuracy
,7,,Compressed Outer Classes,0.5,Validation Accuracy
,8,,Compressed Outer Classes,0.5,Validation Accuracy
,9,,Compressed Outer Classes,0.5,Validation Accuracy
,10,,Compressed Outer Classes,0.5,Validation Accuracy
,11,,Compressed Outer Classes,0.5,Validation Accuracy
,12,,Compressed Outer Classes,0.5,Validation Accuracy
,13,,Compressed Outer Classes,0.5,Validation Accuracy
