,Epochs,Validation Accuracy,Setting,Validation Off-By-One Accuracy
0,1,0.23333333432674408,No Recombination,0.4333333373069763
1,2,0.30000001192092896,No Recombination,0.6499999761581421
2,3,0.30000001192092896,No Recombination,0.699999988079071
3,4,0.23333333432674408,No Recombination,0.5666666626930237
4,5,0.2666666805744171,No Recombination,0.6833333373069763
5,6,0.3333333432674408,No Recombination,0.6333333253860474
6,7,0.30000001192092896,No Recombination,0.6166666746139526
7,8,0.36666667461395264,No Recombination,0.8166666626930237
8,9,0.3333333432674408,No Recombination,0.6666666865348816
9,10,0.2666666805744171,No Recombination,0.6333333253860474
10,11,0.2666666805744171,No Recombination,0.699999988079071
11,12,0.30000001192092896,No Recombination,0.6499999761581421
12,13,0.46666666865348816,No Recombination,0.75
13,14,0.3333333432674408,No Recombination,0.6333333253860474
14,15,0.23333333432674408,No Recombination,0.5666666626930237
15,16,0.1666666716337204,No Recombination,0.5333333611488342
16,17,0.23333333432674408,No Recombination,0.5333333611488342
17,18,0.1666666716337204,No Recombination,0.5666666626930237
18,19,0.20000000298023224,No Recombination,0.550000011920929
19,20,0.20000000298023224,No Recombination,0.6166666746139526
20,21,0.2666666805744171,No Recombination,0.6000000238418579
21,22,0.2666666805744171,No Recombination,0.6833333373069763
22,23,0.2666666805744171,No Recombination,0.6666666865348816
23,24,0.13333334028720856,No Recombination,0.5333333611488342
24,25,0.20000000298023224,No Recombination,0.6666666865348816
25,26,0.30000001192092896,No Recombination,0.7166666388511658
26,27,0.2666666805744171,No Recombination,0.699999988079071
27,28,0.23333333432674408,No Recombination,0.6000000238418579
28,29,0.2666666805744171,No Recombination,0.6666666865348816
29,30,0.23333333432674408,No Recombination,0.6333333253860474
30,1,0.20000000298023224,No Recombination,0.36666667461395264
31,2,0.4000000059604645,No Recombination,0.6833333373069763
32,3,0.36666667461395264,No Recombination,0.6499999761581421
33,4,0.30000001192092896,No Recombination,0.6666666865348816
34,5,0.5333333611488342,No Recombination,0.9333333373069763
35,6,0.4000000059604645,No Recombination,0.8333333134651184
36,7,0.46666666865348816,No Recombination,0.699999988079071
37,8,0.4333333373069763,No Recombination,0.7833333611488342
38,9,0.4333333373069763,No Recombination,0.8500000238418579
39,10,0.46666666865348816,No Recombination,0.8166666626930237
40,11,0.5333333611488342,No Recombination,0.8500000238418579
41,12,0.5333333611488342,No Recombination,0.7833333611488342
42,13,0.46666666865348816,No Recombination,0.8333333134651184
43,14,0.6000000238418579,No Recombination,0.949999988079071
44,15,0.46666666865348816,No Recombination,0.7833333611488342
45,16,0.5333333611488342,No Recombination,0.800000011920929
46,17,0.4000000059604645,No Recombination,0.7666666507720947
47,18,0.6666666865348816,No Recombination,0.949999988079071
48,19,0.4333333373069763,No Recombination,0.800000011920929
49,20,0.6000000238418579,No Recombination,0.8999999761581421
50,21,0.36666667461395264,No Recombination,0.6833333373069763
51,22,0.4000000059604645,No Recombination,0.7333333492279053
52,23,0.5666666626930237,No Recombination,0.8833333253860474
53,24,0.5333333611488342,No Recombination,0.8999999761581421
54,25,0.46666666865348816,No Recombination,0.7666666507720947
55,26,0.5,No Recombination,0.8333333134651184
56,27,0.5333333611488342,No Recombination,0.8333333134651184
57,28,0.46666666865348816,No Recombination,0.6833333373069763
58,29,0.46666666865348816,No Recombination,0.800000011920929
59,30,0.4333333373069763,No Recombination,0.7666666507720947
60,1,0.1666666716337204,No Recombination,0.5
61,2,0.20000000298023224,No Recombination,0.5
62,3,0.1666666716337204,No Recombination,0.4333333373069763
63,4,0.4000000059604645,No Recombination,0.6666666865348816
64,5,0.46666666865348816,No Recombination,0.7333333492279053
65,6,0.46666666865348816,No Recombination,0.7333333492279053
66,7,0.6333333253860474,No Recombination,0.8666666746139526
67,8,0.46666666865348816,No Recombination,0.7666666507720947
68,9,0.5666666626930237,No Recombination,0.9333333373069763
69,10,0.6000000238418579,No Recombination,0.9166666865348816
70,11,0.5,No Recombination,0.8666666746139526
71,12,0.3333333432674408,No Recombination,0.6666666865348816
72,13,0.36666667461395264,No Recombination,0.6833333373069763
73,14,0.4000000059604645,No Recombination,0.6666666865348816
74,15,0.5666666626930237,No Recombination,0.9166666865348816
75,16,0.5333333611488342,No Recombination,0.8833333253860474
76,17,0.5,No Recombination,0.8666666746139526
77,18,0.5,No Recombination,0.8333333134651184
78,19,0.5,No Recombination,0.7666666507720947
79,20,0.5333333611488342,No Recombination,0.800000011920929
80,21,0.5333333611488342,No Recombination,0.8333333134651184
81,22,0.4333333373069763,No Recombination,0.699999988079071
82,23,0.5333333611488342,No Recombination,0.800000011920929
83,24,0.5333333611488342,No Recombination,0.800000011920929
84,25,0.5666666626930237,No Recombination,0.8333333134651184
85,26,0.6000000238418579,No Recombination,0.800000011920929
86,27,0.5666666626930237,No Recombination,0.800000011920929
87,28,0.6000000238418579,No Recombination,0.800000011920929
88,29,0.6333333253860474,No Recombination,0.8666666746139526
89,30,0.5333333611488342,No Recombination,0.800000011920929
90,1,0.30000001192092896,No Recombination,0.6666666865348816
91,2,0.3333333432674408,No Recombination,0.7333333492279053
92,3,0.23333333432674408,No Recombination,0.6833333373069763
93,4,0.20000000298023224,No Recombination,0.6000000238418579
94,5,0.2666666805744171,No Recombination,0.6333333253860474
95,6,0.23333333432674408,No Recombination,0.6000000238418579
96,7,0.2666666805744171,No Recombination,0.6833333373069763
97,8,0.36666667461395264,No Recombination,0.7333333492279053
98,9,0.30000001192092896,No Recombination,0.7166666388511658
99,10,0.3333333432674408,No Recombination,0.7833333611488342
100,11,0.30000001192092896,No Recombination,0.699999988079071
101,12,0.30000001192092896,No Recombination,0.699999988079071
102,13,0.4000000059604645,No Recombination,0.7333333492279053
103,14,0.4000000059604645,No Recombination,0.7666666507720947
104,15,0.46666666865348816,No Recombination,0.800000011920929
105,16,0.36666667461395264,No Recombination,0.699999988079071
106,17,0.4000000059604645,No Recombination,0.699999988079071
107,18,0.4333333373069763,No Recombination,0.7666666507720947
108,19,0.3333333432674408,No Recombination,0.7166666388511658
109,20,0.2666666805744171,No Recombination,0.6666666865348816
110,21,0.2666666805744171,No Recombination,0.6166666746139526
111,22,0.4333333373069763,No Recombination,0.800000011920929
112,23,0.36666667461395264,No Recombination,0.7333333492279053
113,24,0.36666667461395264,No Recombination,0.6333333253860474
114,25,0.2666666805744171,No Recombination,0.6666666865348816
115,26,0.23333333432674408,No Recombination,0.6333333253860474
116,27,0.1666666716337204,No Recombination,0.5333333611488342
117,28,0.2666666805744171,No Recombination,0.6000000238418579
118,29,0.2666666805744171,No Recombination,0.6333333253860474
119,30,0.30000001192092896,No Recombination,0.6166666746139526
120,1,0.23333333432674408,No Recombination,0.5333333611488342
121,2,0.20000000298023224,No Recombination,0.5666666626930237
122,3,0.23333333432674408,No Recombination,0.7333333492279053
123,4,0.5,No Recombination,0.8999999761581421
124,5,0.36666667461395264,No Recombination,0.8500000238418579
125,6,0.30000001192092896,No Recombination,0.6666666865348816
126,7,0.5,No Recombination,0.800000011920929
127,8,0.46666666865348816,No Recombination,0.8999999761581421
128,9,0.3333333432674408,No Recombination,0.7666666507720947
129,10,0.46666666865348816,No Recombination,0.8333333134651184
130,11,0.36666667461395264,No Recombination,0.7166666388511658
