Unnamed: 0,Epochs,Validation Accuracy,Setting,Value,Metric
,1,,Regression,1.1088688373565674,Validation MAE
,2,,Regression,1.250335931777954,Validation MAE
,3,,Regression,1.2421764135360718,Validation MAE
,4,,Regression,1.65229594707489,Validation MAE
,5,,Regression,1.2136518955230713,Validation MAE
,6,,Regression,1.2723714113235474,Validation MAE
,7,,Regression,1.310132384300232,Validation MAE
,8,,Regression,1.5036303997039795,Validation MAE
,9,,Regression,1.4972611665725708,Validation MAE
,10,,Regression,1.3312172889709473,Validation MAE
,11,,Regression,1.252887487411499,Validation MAE
,12,,Regression,1.3307477235794067,Validation MAE
,13,,Regression,1.3454971313476562,Validation MAE
,14,,Regression,1.319054365158081,Validation MAE
,15,,Regression,1.2195230722427368,Validation MAE
,1,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,2,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,3,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,4,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,5,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,6,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,7,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,8,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,9,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,10,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,11,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,12,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,13,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,14,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,15,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,1,,Regression,0.1666666716337204,Validation Off-By-Half Accuracy
,2,,Regression,0.1666666716337204,Validation Off-By-Half Accuracy
,3,,Regression,0.1666666716337204,Validation Off-By-Half Accuracy
,4,,Regression,0.1666666716337204,Validation Off-By-Half Accuracy
,5,,Regression,0.1666666716337204,Validation Off-By-Half Accuracy
,6,,Regression,0.1666666716337204,Validation Off-By-Half Accuracy
,7,,Regression,0.1666666716337204,Validation Off-By-Half Accuracy
,8,,Regression,0.1666666716337204,Validation Off-By-Half Accuracy
,9,,Regression,0.1666666716337204,Validation Off-By-Half Accuracy
,10,,Regression,0.1666666716337204,Validation Off-By-Half Accuracy
,11,,Regression,0.1666666716337204,Validation Off-By-Half Accuracy
,12,,Regression,0.1666666716337204,Validation Off-By-Half Accuracy
,13,,Regression,0.1666666716337204,Validation Off-By-Half Accuracy
,14,,Regression,0.1666666716337204,Validation Off-By-Half Accuracy
,15,,Regression,0.1666666716337204,Validation Off-By-Half Accuracy
,1,,Regression,0.1666666716337204,Validation Off-By-Tenth Accuracy
,2,,Regression,0.1666666716337204,Validation Off-By-Tenth Accuracy
,3,,Regression,0.1666666716337204,Validation Off-By-Tenth Accuracy
,4,,Regression,0.1666666716337204,Validation Off-By-Tenth Accuracy
,5,,Regression,0.1666666716337204,Validation Off-By-Tenth Accuracy
,6,,Regression,0.1666666716337204,Validation Off-By-Tenth Accuracy
,7,,Regression,0.1666666716337204,Validation Off-By-Tenth Accuracy
,8,,Regression,0.1666666716337204,Validation Off-By-Tenth Accuracy
,9,,Regression,0.1666666716337204,Validation Off-By-Tenth Accuracy
,10,,Regression,0.1666666716337204,Validation Off-By-Tenth Accuracy
,11,,Regression,0.1666666716337204,Validation Off-By-Tenth Accuracy
,12,,Regression,0.1666666716337204,Validation Off-By-Tenth Accuracy
,13,,Regression,0.1666666716337204,Validation Off-By-Tenth Accuracy
,14,,Regression,0.1666666716337204,Validation Off-By-Tenth Accuracy
,15,,Regression,0.1666666716337204,Validation Off-By-Tenth Accuracy
,1,,Regression,1.3485344648361206,Validation MAE
,2,,Regression,1.2100529670715332,Validation MAE
,3,,Regression,0.977993369102478,Validation MAE
,4,,Regression,1.1089394092559814,Validation MAE
,5,,Regression,1.0883301496505735,Validation MAE
,6,,Regression,1.2283114194869995,Validation MAE
,7,,Regression,1.3446803092956543,Validation MAE
,8,,Regression,1.3456732034683228,Validation MAE
,9,,Regression,1.1381497383117676,Validation MAE
,10,,Regression,1.0139740705490112,Validation MAE
,11,,Regression,0.957260251045227,Validation MAE
,12,,Regression,0.8365801572799683,Validation MAE
,13,,Regression,0.9179648160934448,Validation MAE
,14,,Regression,0.9620534777641296,Validation MAE
,15,,Regression,1.1209098100662231,Validation MAE
,1,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,2,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,3,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,4,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,5,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,6,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,7,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,8,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,9,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,10,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,11,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,12,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,13,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,14,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,15,,Regression,0.3333333432674408,Validation Off-By-One Accuracy
,1,,Regression,0.1666666716337204,Validation Off-By-Half Accuracy
,2,,Regression,0.1666666716337204,Validation Off-By-Half Accuracy
,3,,Regression,0.1666666716337204,Validation Off-By-Half Accuracy
,4,,Regression,0.1666666716337204,Validation Off-By-Half Accuracy
,5,,Regression,0.1666666716337204,Validation Off-By-Half Accuracy
,6,,Regression,0.1666666716337204,Validation Off-By-Half Accuracy
,7,,Regression,0.1666666716337204,Validation Off-By-Half Accuracy
,8,,Regression,0.1666666716337204,Validation Off-By-Half Accuracy
,9,,Regression,0.1666666716337204,Validation Off-By-Half Accuracy
,10,,Regression,0.1666666716337204,Validation Off-By-Half Accuracy
,11,,Regression,0.1666666716337204,Validation Off-By-Half Accuracy
